user_id,age
C0006,34.0
C0007,53.0
C0008,22.0
C0010,35.0
C0011,63.0
C0012,44.0
C0013,62.0
C0014,26.0
C0015,44.0
C0017,62.0
C0019,44.0
C0020,37.0
C0021,52.0
C0022,59.0
C0023,39.0
C0024,28.0
C0025,60.0
C0026,62.0
C0027,44.0
C0028,39.0
C0029,60.0
C0031,49.0
C0032,77.0
C0033,61.0
C0034,46.0
C0035,48.0
C0036,77.0
C0038,73.0
C0040,39.0
C0041,44.0
C0043,58.0
C0049,70.0
C0052,53.0
C0053,75.0
C0054,84.0
C0055,71.0
C0057,13.0
C0059,75.0
C0060,65.0
C0061,34.0
C0062,63.0
C0063,58.0
C0064,76.0
C0065,66.0
C0066,68.0
C0070,69.0
C0072,57.0
C0074,64.0
C0076,68.0
C0077,32.0
C0083,72.0
C0086,65.0
C0087,74.0
C0088,72.0
C0090,52.0
C0092,33.0
C0093,22.0
C0094,38.0
C0095,19.0
C0096,19.0
C0103,19.0
C0112,65.0
C0116,51.0
C0117,53.0
C0118,68.0
C0119,52.0
C0120,79.0
C0121,37.0
C0123,37.0
C0124,51.0
C0125,65.0
C0126,81.0
C0128,74.0
C0129,74.0
C0130,16.0
C0131,67.0
C0133,33.0
C0137,58.0
C0138,19.0
C0139,49.0
C0143,78.0
C0144,22.0
C0145,53.0
C0149,68.0
C0150,54.0
C0151,44.0
C0152,74.0
C0153,42.0
C0154,78.0
C0155,54.0
C0157,61.0
C0158,57.0
C0159,53.0
C0161,58.0
C0167,53.0
C0168,76.0
C0169,64.0
C0170,77.0
C0171,67.0
C0172,24.0
C0173,20.0
C0174,46.0
C0175,65.0
C0176,34.0
C0185,71.0
C0188,74.0
C0192,72.0
C0194,30.0
C0195,65.0
C0196,68.0
C0197,34.0
C0198,62.0
C0200,32.0
C0201,39.0
C0203,69.0
C0205,86.0
C0206,65.0
C0207,43.0
C0211,74.0
C0212,65.0
C0213,28.0
C0214,66.0
C0215,19.0
C0216,50.0
C0218,78.0
C0220,43.0
C0222,67.0
C0225,65.0
C0231,45.0
C0234,53.0
C0235,46.0
C0236,45.0
C0237,32.0
C0238,72.0
C0239,52.0
C0240,43.0
C0242,87.0
C0243,52.0
C0244,78.0
C0246,59.0
C0247,13.0
C0249,52.0
C0252,54.0
C0254,47.0
C0257,55.0
C0258,37.0
C0259,77.0
C0261,12.0
C0262,72.0
C0264,12.0
C0266,39.0
C0267,79.0
C0268,64.0
C0271,71.0
C0272,66.0
C0274,78.0
C0275,64.0
C0277,75.0
C0278,69.0
C0279,55.0
C0285,69.0
C0287,65.0
C0288,64.0
C0291,53.0
C0293,81.0
C0296,71.0
C0299,54.0
C0300,49.0
C0301,76.0
C0302,64.0
C0304,58.0
C0310,79.0
C0312,72.0
C0315,71.0
C0317,85.0
C0318,50.0
C0320,23.0
C0322,71.0
C0324,65.0
C0331,65.0
C0332,45.0
C0333,69.0
C0334,75.0
C0340,36.0
C0341,68.0
C0343,71.0
C0344,49.0
C0361,62.0
C0366,71.0
C0368,77.0
C0369,77.0
C0375,14.0
C0383,47.0
C0386,79.0
C0399,62.0
C0406,75.0
C0414,70.0
C0416,57.0
C0417,39.0
C0419,63.0
C0425,67.0
C0426,44.0
C0435,60.0
C0437,80.0
C0438,35.0
C0441,66.0
C0443,69.0
C0454,65.0
C0455,73.0
C0470,49.0
C0489,62.0
C0493,63.0
C0498,62.0
C0501,70.0
C0503,61.0
C0507,63.0
C0513,59.0
C0517,77.0
C0518,24.0
C0520,70.0
C0525,52.0
C0529,64.0
C0535,59.0
C0539,59.0
C0545,73.0
C0548,73.0
C0554,81.0
C0557,31.0
C0558,58.0
C0559,52.0
C0562,68.0
C0563,69.0
C0565,38.0
C0569,72.0
